
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     1.000     2   2.7563
      2    97.067     1.000     2   2.7879
      3    96.846     1.000     2   2.7904
      4    95.714     1.000     2   2.8029
      5    95.386     1.000     2   2.8065
      6    93.947     1.000     2   2.8227
      7    89.952     1.000     2   2.8692
      8    88.723     1.000     2   2.8839
      9    85.502     1.000     2   2.9236
     10    82.247     1.000     2   2.9654
     11    81.304     1.000     2   2.9779
     12    80.522     1.000     2   2.9884
     13    33.139     1.000     2   4.0270
     14     4.394     2.000     3   4.1638
     15    29.800     1.000     2   4.1658
     16    29.777     1.000     2   4.1668
     17     4.825     2.000     3   4.1748
     18     4.090     2.000     3   4.1953
     19     4.293     2.000     3   4.1959
     20     3.932     2.000     3   4.2080
     21    28.734     1.000     2   4.2143
     22     3.741     2.000     3   4.2213
     23     3.683     2.000     3   4.2384
     24     3.563     2.000     3   4.2682
     25    27.581     1.000     2   4.2693
     26     3.206     2.000     3   4.2778
     27     3.807     2.000     3   4.2796
     28     3.080     2.000     3   4.2879
     29     3.868     2.000     3   4.2990
     30     3.251     2.000     3   4.3023
     31     3.513     2.000     3   4.3109
     32     3.360     2.000     3   4.3143
     33     3.884     2.000     3   4.3302
     34     4.144     2.000     3   4.3408
     35     3.790     2.000     3   4.3416
     36     2.948     2.000     3   4.3514
     37    25.757     1.000     2   4.3625
     38     3.534     2.000     3   4.3915
     39     2.952     2.000     3   4.3957
     40     3.329     2.000     3   4.4055
     41     3.311     2.000     3   4.4343
     42    18.578     1.000     2   4.8298
     43    18.256     1.000     2   4.8557
     44    17.802     1.000     2   4.8934
     45    17.697     1.000     2   4.9023
     46    17.642     1.000     2   4.9070
     47    17.403     1.000     2   4.9275
     48    17.297     1.000     2   4.9367
     49    17.156     1.000     2   4.9492
     50    16.977     1.000     2   4.9650
     51    16.739     1.000     2   4.9865
     52    16.419     1.000     2   5.0159
     53    16.188     1.000     2   5.0376
