PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     1.000     2   2.7563
        2     0.00000    97.067     1.000     2   2.7879
        3     0.00000    96.846     1.000     2   2.7904
        4     0.00000    95.714     1.000     2   2.8029
        5     0.00000    95.386     1.000     2   2.8065
        6     0.00000    93.947     1.000     2   2.8227
        7     0.00000    89.952     1.000     2   2.8692
        8     0.00000    88.723     1.000     2   2.8839
        9     0.00000    85.502     1.000     2   2.9236
       10     0.00000    82.247     1.000     2   2.9654
       11     0.00000    81.304     1.000     2   2.9779
       12     0.00000    80.522     1.000     2   2.9884
       13     0.00000    33.139     1.000     2   4.0270
       14     0.00000     4.394     2.000     3   4.1638
       15     0.00000    29.800     1.000     2   4.1658
       16     0.00000    29.777     1.000     2   4.1668
       17     0.00000     4.825     2.000     3   4.1748
       18     0.00000     4.090     2.000     3   4.1953
       19     0.00000     4.293     2.000     3   4.1959
       20     0.00000     3.932     2.000     3   4.2080
       21     0.00000    28.734     1.000     2   4.2143
       22     0.00000     3.741     2.000     3   4.2213
       23     0.00000     3.683     2.000     3   4.2384
       24     0.00000     3.563     2.000     3   4.2682
       25     0.00000    27.581     1.000     2   4.2693
       26     0.00000     3.206     2.000     3   4.2778
       27     0.00000     3.807     2.000     3   4.2796
       28     0.00000     3.080     2.000     3   4.2879
       29     0.00000     3.868     2.000     3   4.2990
       30     0.00000     3.251     2.000     3   4.3023
       31     0.00000     3.513     2.000     3   4.3109
       32     0.00000     3.360     2.000     3   4.3143
       33     0.00000     3.884     2.000     3   4.3302
       34     0.00000     4.144     2.000     3   4.3408
       35     0.00000     3.790     2.000     3   4.3416
       36     0.00000     2.948     2.000     3   4.3514
       37     0.00000    25.757     1.000     2   4.3625
       38     0.00000     3.534     2.000     3   4.3915
       39     0.00000     2.952     2.000     3   4.3957
       40     0.00000     3.329     2.000     3   4.4055
       41     0.00000     3.311     2.000     3   4.4343
       42     0.00000    18.578     1.000     2   4.8298
       43     0.00000    18.256     1.000     2   4.8557
       44     0.00000    17.802     1.000     2   4.8934
       45     0.00000    17.697     1.000     2   4.9023
       46     0.00000    17.642     1.000     2   4.9070
       47     0.00000    17.403     1.000     2   4.9275
       48     0.00000    17.297     1.000     2   4.9367
       49     0.00000    17.156     1.000     2   4.9492
       50     0.00000    16.977     1.000     2   4.9650
       51     0.00000    16.739     1.000     2   4.9865
       52     0.00000    16.419     1.000     2   5.0159
       53     0.00000    16.188     1.000     2   5.0376
       54     0.00000    16.142     1.000     2   5.0419
       55     0.00000    16.047     1.000     2   5.0510
       56     0.00000    16.005     1.000     2   5.0551
       57     0.00000    15.723     1.000     2   5.0825
       58     0.00000    15.598     1.000     2   5.0947
       59     0.00000    15.491     1.000     2   5.1054
       60     0.00000    15.403     1.000     2   5.1142
       61     0.00000    15.092     1.000     2   5.1460
       62     0.00000    14.924     1.000     2   5.1634
       63     0.00000    14.736     1.000     2   5.1833
       64     0.00000    14.526     1.000     2   5.2057
       65     0.00000    14.511     1.000     2   5.2074
       66     0.00000    12.816     1.000     2   5.4052
       67     0.00000    48.901     2.000     3   5.4075
       68     0.00000    49.521     1.000     4   5.4098
       69     0.00000     3.227     2.000     3   5.4261
       70     0.00000    12.052     1.000     2   5.5051
       71     0.00000    44.745     2.000     3   5.5086
       72     0.00000    44.081     1.000     4   5.5121
       74     0.00000    10.398     2.000     3   5.5440
       75     0.00000    17.647     2.000     4   5.5443
       78     0.00000    11.419     1.000     2   5.5939
       79     0.00000    45.647     2.000     3   5.5943
       80     0.00000    48.780     1.000     4   5.5947
       83     0.00000    11.168     1.000     2   5.6307
       84     0.00000    45.257     2.000     3   5.6310
       85     0.00000    49.084     1.000     4   5.6312
       87     0.00000    10.997     1.000     2   5.6564
       88     0.00000    10.992     1.000     2   5.6572
       89     0.00000    44.478     2.000     3   5.6576
       90     0.00000    48.078     1.000     4   5.6580
       91     0.00000    41.056     2.000     3   5.6598
       92     0.00000    40.585     1.000     4   5.6633
       93     0.00000     9.255     2.000     3   5.6730
       94     0.00000    14.999     2.000     4   5.6757
       95     0.00000    10.711     1.000     2   5.7006
       96     0.00000    36.912     2.000     3   5.7070
       97     0.00000     9.023     2.000     3   5.7130
       98     0.00000    15.024     2.000     4   5.7140
       99     0.00000    33.314     1.000     4   5.7135
      100     0.00000    10.497     1.000     2   5.7344
      101     0.00000    41.910     2.000     3   5.7345
      102     0.00000    44.721     1.000     4   5.7346
      103     0.00000    10.456     1.000     2   5.7410
      104     0.00000    41.389     2.000     3   5.7415
      105     0.00000    43.776     1.000     4   5.7419
      106     0.00000     8.571     2.000     3   5.7805
      107     0.00000    14.423     2.000     4   5.7808
      108     0.00000     8.493     2.000     3   5.7870
      109     0.00000    14.056     2.000     4   5.7882
      110     0.00000    10.066     1.000     2   5.8054
      111     0.00000    35.283     2.000     3   5.8116
      112     0.00000    32.162     1.000     4   5.8177
      113     0.00000     9.903     1.000     2   5.8333
      114     0.00000    31.945     2.000     3   5.8422
      115     0.00000    26.626     1.000     4   5.8512
      116     0.00000     9.742     1.000     2   5.8612
      117     0.00000    38.579     2.000     3   5.8617
      118     0.00000    40.711     1.000     4   5.8623
      119     0.00000     7.821     2.000     3   5.8659
      120     0.00000    11.838     2.000     4   5.8722
      121     0.00000     6.627     1.000     2   6.3965
      122     0.00000     6.564     1.000     2   6.4147
      123     0.00000     6.372     1.000     2   6.4706
      124     0.00000     6.312     1.000     2   6.4884
      125     0.00000     6.252     1.000     2   6.5066
      126     0.00000     6.232     1.000     2   6.5129
      127     0.00000     6.213     1.000     2   6.5187
      128     0.00000     6.165     1.000     2   6.5333
      129     0.00000     6.122     1.000     2   6.5466
      130     0.00000     6.074     1.000     2   6.5618
      131     0.00000     6.013     1.000     2   6.5810
      132     0.00000     5.893     1.000     2   6.6198
      133     0.00000     5.844     1.000     2   6.6360
      134     0.00000     5.830     1.000     2   6.6407
      135     0.00000     5.766     1.000     2   6.6621
      136     0.00000     5.727     1.000     2   6.6753
      137     0.00000     5.726     1.000     2   6.6756
      138     0.00000     5.703     1.000     2   6.6832
      139     0.00000     5.641     1.000     2   6.7046
      140     0.00000     5.598     1.000     2   6.7195
      141     0.00000     5.527     1.000     2   6.7445
      142     0.00000     5.508     1.000     2   6.7514
      143     0.00000     5.187     1.000     2   6.8697
      144     0.00000     5.121     1.000     2   6.8951
      145     0.00000     4.335     1.000     2   7.2340
      146     0.00000     4.250     1.000     2   7.2753
      147     0.00000     4.132     1.000     2   7.3340
      148     0.00000     4.051     1.000     2   7.3757
      149     0.00000     4.041     1.000     2   7.3809
      150     0.00000     3.942     1.000     2   7.4335
      151     0.00000     3.936     1.000     2   7.4369
      152     0.00000     3.897     1.000     2   7.4578
      153     0.00000     3.868     1.000     2   7.4738
      154     0.00000     3.865     1.000     2   7.4752
      155     0.00000     3.857     1.000     2   7.4797
      156     0.00000     3.840     1.000     2   7.4893
      157     0.00000     3.815     1.000     2   7.5031
      158     0.00000     3.812     1.000     2   7.5046
      159     0.00000     3.810     1.000     2   7.5060
      160     0.00000     3.802     1.000     2   7.5104
      161     0.00000     3.768     1.000     2   7.5295
      162     0.00000     3.760     1.000     2   7.5344
      163     0.00000     3.274     2.000     3   7.5342
      164     0.00000     3.757     1.000     2   7.5361
      165     0.00000     3.737     1.000     2   7.5472
      166     0.00000     7.465     2.000     2   7.5500
      167     0.00000     3.723     1.000     2   7.5556
      168     0.00000     3.696     1.000     2   7.5710
      169     0.00000     3.678     1.000     2   7.5817
      170     0.00000     3.652     1.000     2   7.5971
      171     0.00000     3.642     1.000     2   7.6028
