# Time-averaged data for fix store_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7] c_rdf_all[8] c_rdf_all[9]
3000 100
1 0.03 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0 0 0
37 2.19 0 0 0 0 0 0 0 0
38 2.25 0 0 0 0 0 0 0 0
39 2.31 0 0 0 0 0 0 0 0
40 2.37 0 0 0 0 0 0 0 0
41 2.43 0 0 0 0 0 0 0 0
42 2.49 0 0 0.0634103 0.000218182 0.0634103 0.000130435 0 0
43 2.55 0.669556 0.00141818 1.048 0.004 1.048 0.0023913 0.414151 0.00147826
44 2.61 9.75078 0.0230545 6.10804 0.0270909 6.10804 0.0161957 7.20894 0.0284348
45 2.67 71.2357 0.188473 21.067 0.110436 21.067 0.0660217 47.2535 0.213348
46 2.73 234.584 0.757964 45.683 0.299382 45.683 0.178978 133.547 0.759696
47 2.79 483.484 1.98385 91.17 0.693218 91.17 0.414424 212.316 1.66689
48 2.85 631.418 3.65444 120.968 1.23849 120.968 0.740402 225.061 2.67035
49 2.91 612.795 5.34473 135.26 1.87413 135.26 1.1204 168.383 3.45304
50 2.97 435.782 6.59684 128.093 2.50116 128.093 1.49526 108.76 3.97965
51 3.03 235.388 7.30076 106.798 3.04529 106.798 1.82055 66.7632 4.31611
52 3.09 106.094 7.63073 77.8235 3.45765 77.8235 2.06708 38.0686 4.51563
53 3.15 43.5861 7.7716 54.0224 3.75513 54.0224 2.24491 19.274 4.62061
54 3.21 18.0282 7.83211 33.8153 3.94849 33.8153 2.36051 6.85681 4.65939
55 3.27 4.99048 7.84949 16.4078 4.04585 16.4078 2.41872 3.41486 4.67943
56 3.33 1.02689 7.8532 9.28039 4.10296 9.28039 2.45286 1.35359 4.68767
57 3.39 0.213715 7.854 4.00272 4.12849 4.00272 2.46812 0.59619 4.69143
58 3.45 0.14069 7.85455 1.65984 4.13945 1.65984 2.47467 1.34426 4.70022
59 3.51 0.0724916 7.85484 0.593032 4.14351 0.593032 2.4771 1.38227 4.70957
60 3.57 0.630679 7.85745 0.131106 4.14444 0.131106 2.47765 1.80232 4.72217
61 3.63 1.51653 7.86396 0.385396 4.14725 0.385396 2.47934 2.45555 4.73993
62 3.69 3.91092 7.88131 0.577494 4.15162 0.577494 2.48195 5.23843 4.77909
63 3.75 6.73998 7.91218 1.05076 4.15982 1.05076 2.48685 9.38389 4.85152
64 3.81 17.5885 7.99535 2.77616 4.18218 2.77616 2.50022 14.3563 4.96591
65 3.87 33.573 8.15913 5.34212 4.22658 5.34212 2.52676 19.3223 5.12476
66 3.93 57.4062 8.44793 9.39105 4.30707 9.39105 2.57488 25.173 5.33817
67 3.99 87.7185 8.9028 13.4613 4.426 13.4613 2.64598 29.3945 5.59504
68 4.05 101.419 9.44465 19.0159 4.59909 19.0159 2.74946 33.2335 5.89426
69 4.11 103.007 10.0114 23.0189 4.81487 23.0189 2.87846 33.3277 6.20328
70 4.17 80.4826 10.4673 25.4475 5.06044 25.4475 3.02526 27.9685 6.47024
71 4.23 57.7882 10.8041 23.3135 5.29193 23.3135 3.16365 22.3731 6.68998
72 4.29 31.1185 10.9906 20.3036 5.49929 20.3036 3.28762 14.1382 6.8328
73 4.35 14.661 11.081 16.3034 5.67049 16.3034 3.38997 10.2263 6.93902
74 4.41 4.91948 11.1121 10.172 5.78027 10.172 3.4556 5.22543 6.9948
75 4.47 1.92761 11.1247 6.47536 5.85207 6.47536 3.49852 2.95335 7.0272
76 4.53 0.805159 11.1301 4.60619 5.90453 4.60619 3.52988 1.59993 7.04522
77 4.59 1.23466 11.1385 6.26718 5.9778 6.26718 3.57368 1.58282 7.06352
78 4.65 4.02722 11.1669 10.5977 6.10496 10.5977 3.64971 3.09729 7.10028
79 4.71 14.5336 11.2719 19.4478 6.34438 19.4478 3.79284 6.35018 7.17761
80 4.77 37.5403 11.5501 32.3894 6.75335 32.3894 4.03733 11.7145 7.32391
81 4.83 92.5458 12.2534 48.8754 7.38609 48.8754 4.4156 18.6861 7.5632
82 4.89 151.141 13.4306 67.6988 8.28444 67.6988 4.95265 25.3556 7.896
83 4.95 201.741 15.0407 79.9286 9.37125 79.9286 5.60238 30.9595 8.31239
84 5.01 211.74 16.7718 89.3193 10.6154 89.3193 6.34615 36.7831 8.81917
85 5.07 192.252 18.3815 81.2309 11.7741 81.2309 7.03887 38.5862 9.36361
86 5.13 132.558 19.5178 71.8086 12.8228 71.8086 7.66582 35.403 9.87502
87 5.19 77.2139 20.1952 55.1019 13.6465 55.1019 8.15822 28.3153 10.2937
88 5.25 34.1247 20.5016 37.3254 14.2174 37.3254 8.49952 23.6514 10.6515
89 5.31 15.3902 20.6429 24.9736 14.6081 24.9736 8.73313 16.8595 10.9124
90 5.37 6.10522 20.7003 14.8112 14.8452 14.8112 8.87483 12.3688 11.1082
91 5.43 5.86124 20.7566 9.3908 14.9988 9.3908 8.96668 12.1104 11.3042
92 5.49 7.8266 20.8334 7.46477 15.1237 7.46477 9.04133 14.0337 11.5364
93 5.55 20.706 21.0412 8.16475 15.2632 8.16475 9.12476 17.5133 11.8325
94 5.61 37.1504 21.422 12.5289 15.4821 12.5289 9.25558 20.3396 12.1839
95 5.67 54.8876 21.9968 16.7616 15.7811 16.7616 9.43435 20.6099 12.5476
96 5.73 66.3216 22.706 21.4158 16.1713 21.4158 9.66762 20.0141 12.9083
97 5.79 67.0489 23.4382 26.5294 16.6648 26.5294 9.96267 17.3922 13.2283
98 5.85 53.1343 24.0305 27.6069 17.1891 27.6069 10.2761 12.8364 13.4694
99 5.91 34.2576 24.4202 24.373 17.6615 24.373 10.5585 9.90113 13.6593
100 5.97 19.4926 24.6465 20.9687 18.0763 20.9687 10.8065 8.34632 13.8225
