 Formula: Fe2O3                                 Feff8L (EXAFS)       0.1
 SpaceGroup: R-3c
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.286 Rnm= 1.378 K  shell
 Pot 1 Z= 8 Rmt= 1.012 Rnm= 1.086
 Pot 2 Z=26 Rmt= 1.289 Rnm= 1.385
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.025E+00 kf=2.246E+00 Vint=-2.024E+01 Rs_int= 1.615
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  218      icalc       2
 -----------------------------------------------------------------------
   2   3.000   7.7998    2.3017   -1.02520 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     5.0380   -2.9087   -5.1957  2  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1029E+00  3.8163E-05 -5.8298E+00  1.008E+00  2.6149E+01  2.2458E+00
  0.100  3.1025E+00  3.4232E-02 -7.3589E+00  1.008E+00  2.6173E+01  2.2480E+00
  0.200  3.1011E+00  6.8056E-02 -8.8212E+00  1.008E+00  2.6245E+01  2.2543E+00
  0.300  3.0987E+00  1.0108E-01 -1.0219E+01  1.009E+00  2.6356E+01  2.2649E+00
  0.400  3.0954E+00  1.3296E-01 -1.1553E+01  1.009E+00  2.6495E+01  2.2797E+00
  0.500  3.0911E+00  1.6335E-01 -1.2824E+01  1.009E+00  2.6647E+01  2.2985E+00
  0.600  3.0856E+00  1.9201E-01 -1.4034E+01  1.009E+00  2.6792E+01  2.3213E+00
  0.700  3.0790E+00  2.1870E-01 -1.5185E+01  1.010E+00  2.6907E+01  2.3480E+00
  0.800  3.0711E+00  2.4327E-01 -1.6276E+01  1.010E+00  2.6969E+01  2.3785E+00
  0.900  3.0619E+00  2.6558E-01 -1.7312E+01  1.011E+00  2.6954E+01  2.4126E+00
  1.000  3.0511E+00  2.8555E-01 -1.8292E+01  1.011E+00  2.6840E+01  2.4503E+00
  1.100  3.0388E+00  3.0312E-01 -1.9218E+01  1.012E+00  2.6611E+01  2.4914E+00
  1.200  3.0248E+00  3.1827E-01 -2.0093E+01  1.013E+00  2.6257E+01  2.5359E+00
  1.300  3.0089E+00  3.3097E-01 -2.0916E+01  1.015E+00  2.5776E+01  2.5836E+00
  1.400  2.9910E+00  3.4123E-01 -2.1689E+01  1.016E+00  2.5174E+01  2.6344E+00
  1.500  2.9710E+00  3.4905E-01 -2.2413E+01  1.018E+00  2.4465E+01  2.6883E+00
  1.600  2.9485E+00  3.5445E-01 -2.3089E+01  1.021E+00  2.3671E+01  2.7452E+00
  1.700  2.9236E+00  3.5744E-01 -2.3715E+01  1.023E+00  2.2816E+01  2.8051E+00
