
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     3.000     2   1.9457
      2    83.100     3.000     2   2.1162
      3    14.618     1.000     2   2.9004
      4    41.435     3.000     2   2.9710
      5    30.780     3.000     2   3.3642
      6    18.163     2.000     2   3.3985
      7     9.082     1.000     2   3.3985
      8     7.359     6.000     3   3.4184
      9     7.687     6.000     3   3.4508
     10     7.883     6.000     3   3.4634
     11     6.659     6.000     3   3.4749
     12     4.896     6.000     3   3.5164
     13     4.818     6.000     3   3.5164
     14     3.755     6.000     3   3.5663
     15    23.641     3.000     2   3.5964
     16    12.665     6.000     3   3.6277
     17    48.664     6.000     2   3.7053
     18    20.755     3.000     2   3.7857
     19    10.437     6.000     3   3.8835
     20    10.729     6.000     3   3.8835
     21     5.479     3.000     4   3.8913
     22     2.176     3.000     4   3.8913 neglected
     23     6.770     1.000     2   3.9856
     24     3.840     4.000     3   4.0067
     25    26.010     6.000     3   4.0374
     26    18.089     6.000     4   4.0618
     27     3.057     3.000     4   4.0618
     28     2.941     3.000     4   4.0618
     29    16.525     3.000     2   4.1352
     30     9.700    12.000     3   4.2150
     31     3.955     3.000     4   4.2323
     32     5.029     6.000     3   4.2428
     33     5.065     6.000     3   4.3096
     34    14.086     3.000     2   4.3948
     35     7.403    12.000     3   4.4686
     36     3.153     6.000     3   4.4907
     37     5.093     6.000     3   4.4906
     38    18.115     6.000     3   4.5049
     39     6.170     6.000     3   4.5132
     40    12.850     3.000     2   4.5495
     41     5.139     6.000     3   4.5696
     42     7.547     3.000     4   4.6150
     43    12.289     3.000     2   4.6263
     44    18.770     6.000     3   4.6351
     45    23.551     6.000     2   4.7006
     46     8.251     3.000     4   4.7207
     47     2.866     6.000     3   4.7409
     48     4.200     6.000     3   4.7409
     49     4.441     6.000     4   4.7855
     50    10.935     6.000     3   4.8037
     51     6.848     6.000     3   4.8086
     52     8.861     6.000     3   4.8086
     53     2.323     6.000     4   4.9166 neglected
     54     1.905     3.000     4   4.9166 neglected
     55    16.771    12.000     3   4.9261
     56     2.644     6.000     3   4.9681 neglected
     57     3.783     6.000     3   4.9681
     58     6.136     6.000     4   4.9811
     59     3.868     3.000     4   4.9811
     60    10.040     3.000     2   4.9864
     61    21.103     6.000     3   4.9952
     62    11.172     3.000     4   5.0040
     63     3.361    12.000     3   5.0202
     64     3.340     6.000     4   5.0341
     65    22.192     6.000     2   5.0380
     66     5.274     6.000     4   5.1516
     67     5.104     4.000     3   5.1911
     68     6.370     6.000     3   5.1911
     69     5.312     6.000     3   5.1911
     70     8.343     3.000     2   5.3350
     71     2.066     3.000     4   5.3442 neglected
     72     5.390     6.000     3   5.4077
     73     8.174     6.000     3   5.4077
     74     3.823     6.000     3   5.4131
     75    18.087     6.000     2   5.4346
     76     2.270     6.000     3   5.4699 neglected
     77     2.428     6.000     4   5.4803 neglected
     78     4.736     6.000     3   5.4832
     79     2.960    12.000     3   5.4900
     80     7.564     3.000     2   5.5273
     81     5.888     6.000     3   5.5440
     82     6.318     6.000     3   5.5736
     83     5.813     6.000     3   5.5736
     84     4.746     6.000     3   5.5736
     85     5.270     6.000     3   5.5891
     86     8.229     6.000     3   5.5891
     87     4.126     6.000     3   5.6468
     88     7.114     3.000     2   5.6501
     89     2.622     6.000     4   5.6509 neglected
     90     6.900     3.000     2   5.7121
     91     2.270     6.000     4   5.7195 neglected
     92     5.592     6.000     3   5.7430
     93     3.138     6.000     3   5.7577
     94     2.451     6.000     3   5.7578 neglected
     95     4.717     6.000     3   5.7668
     96     7.814     6.000     3   5.7668
     97     4.260     6.000     4   5.7674
     98     2.677     6.000     3   5.8003
     99     3.183     6.000     4   5.8048
    100     2.643     6.000     3   5.8107 neglected
