
======== running Feff module feff8l_pathfinder ========
 Preparing plane wave scattering amplitudes...
 Searching for paths...
   WARNING:  rmax > distance to most distant atom.
             Some paths may be missing.
             rmax, ratx   8.00000E+00  0.00000E+00
    Rmax  8.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
      1000     1999     1999      5      5.0456
      2000     3778     3778      5      5.4091
      3000     5315     5315      5      5.5656
      4000     6747     6747      5      5.6825
      5000     8567     8567      5      5.8292
      6000    10263    10263      5      5.9524
      7000    11545    11545      5      6.0075
      8000    12884    12884      5      6.0809
      9000    13884    13884      5      6.1357
     10000    14884    14884      5      6.1607
     11000    15452    15452      5      6.1888
     12000    16452    16452      5      6.2499
     13000    17452    17452      5      6.2914
     14000    18452    18452      5      6.3063
     15000    19452    19452      5      6.3311
     16000    20344    20344      5      6.3590
     17000    21344    21344      5      6.3786
     18000    22344    22344      5      6.4143
     19000    23344    23344      5      6.4352
     20000    24344    24344      5      6.4591
     21000    25344    25344      5      6.4840
     22000    26344    26344      5      6.4989
     23000    27344    27344      5      6.5218
     24000    28192    28192      5      6.5556
     25000    28769    28769      5      6.5674
     26000    29378    29378      5      6.5824
     27000    30204    30204      5      6.6068
     28000    30994    30994      5      6.6294
     29000    31772    31772      5      6.6562
     30000    32440    32440      5      6.6744
     31000    33238    33238      5      6.6866
     32000    33752    33752      5      6.7049
     33000    34272    34272      5      6.7190
     34000    34561    34564      5      6.7311
     35000    34667    34667      5      6.7340
     36000    35202    35203      5      6.7450
     37000    35515    35516      5      6.7513
     38000    35875    35877      5      6.7600
     39000    36408    36409      5      6.7764
     40000    36826    36826      5      6.7960
     41000    37110    37111      5      6.8024
     42000    37582    37582      5      6.8130
     43000    37945    37947      5      6.8208
     44000    38467    38469      5      6.8345
     45000    38830    38831      5      6.8422
     46000    39014    39016      5      6.8493
     47000    39655    39655      5      6.8578
     48000    40147    40147      5      6.8679
     49000    40402    40403      5      6.8707
     50000    40799    40799      5      6.8758
     51000    41170    41170      5      6.8819
     52000    41509    41509      5      6.8933
     53000    41749    41749      5      6.9003
     54000    41875    41875      5      6.9044
     55000    42283    42283      5      6.9123
     56000    42435    42435      5      6.9149
