PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     3.000     2   1.9457
        2     0.00000    83.100     3.000     2   2.1162
        3     0.00000    14.618     1.000     2   2.9004
        4     0.00000    41.435     3.000     2   2.9710
        5     0.00000    30.780     3.000     2   3.3642
        6     0.00000    18.163     2.000     2   3.3985
        7     0.00000     9.082     1.000     2   3.3985
        8     0.00000     7.359     6.000     3   3.4184
        9     0.00000     7.687     6.000     3   3.4508
       10     0.00000     7.883     6.000     3   3.4634
       11     0.00000     6.659     6.000     3   3.4749
       12     0.00000     4.896     6.000     3   3.5164
       13     0.00000     4.818     6.000     3   3.5164
       14     0.00000     3.755     6.000     3   3.5663
       15     0.00000    23.641     3.000     2   3.5964
       16     0.00000    12.665     6.000     3   3.6277
       17     0.00000    48.664     6.000     2   3.7053
       18     0.00000    20.755     3.000     2   3.7857
       19     0.00000    10.437     6.000     3   3.8835
       20     0.00000    10.729     6.000     3   3.8835
       21     0.00000     5.479     3.000     4   3.8913
       23     0.00000     6.770     1.000     2   3.9856
       24     0.00000     3.840     4.000     3   4.0067
       25     0.00000    26.010     6.000     3   4.0374
       26     0.00000    18.089     6.000     4   4.0618
       27     0.00000     3.057     3.000     4   4.0618
       28     0.00000     2.941     3.000     4   4.0618
       29     0.00000    16.525     3.000     2   4.1352
       30     0.00000     9.700    12.000     3   4.2150
       31     0.00000     3.955     3.000     4   4.2323
       32     0.00000     5.029     6.000     3   4.2428
       33     0.00000     5.065     6.000     3   4.3096
       34     0.00000    14.086     3.000     2   4.3948
       35     0.00000     7.403    12.000     3   4.4686
       36     0.00000     3.153     6.000     3   4.4907
       37     0.00000     5.093     6.000     3   4.4906
       38     0.00000    18.115     6.000     3   4.5049
       39     0.00000     6.170     6.000     3   4.5132
       40     0.00000    12.850     3.000     2   4.5495
       41     0.00000     5.139     6.000     3   4.5696
       42     0.00000     7.547     3.000     4   4.6150
       43     0.00000    12.289     3.000     2   4.6263
       44     0.00000    18.770     6.000     3   4.6351
       45     0.00000    23.551     6.000     2   4.7006
       46     0.00000     8.251     3.000     4   4.7207
       47     0.00000     2.866     6.000     3   4.7409
       48     0.00000     4.200     6.000     3   4.7409
       49     0.00000     4.441     6.000     4   4.7855
       50     0.00000    10.935     6.000     3   4.8037
       51     0.00000     6.848     6.000     3   4.8086
       52     0.00000     8.861     6.000     3   4.8086
       55     0.00000    16.771    12.000     3   4.9261
       57     0.00000     3.783     6.000     3   4.9681
       58     0.00000     6.136     6.000     4   4.9811
       59     0.00000     3.868     3.000     4   4.9811
       60     0.00000    10.040     3.000     2   4.9864
       61     0.00000    21.103     6.000     3   4.9952
       62     0.00000    11.172     3.000     4   5.0040
       63     0.00000     3.361    12.000     3   5.0202
       64     0.00000     3.340     6.000     4   5.0341
       65     0.00000    22.192     6.000     2   5.0380
       66     0.00000     5.274     6.000     4   5.1516
       67     0.00000     5.104     4.000     3   5.1911
       68     0.00000     6.370     6.000     3   5.1911
       69     0.00000     5.312     6.000     3   5.1911
       70     0.00000     8.343     3.000     2   5.3350
       72     0.00000     5.390     6.000     3   5.4077
       73     0.00000     8.174     6.000     3   5.4077
       74     0.00000     3.823     6.000     3   5.4131
       75     0.00000    18.087     6.000     2   5.4346
       78     0.00000     4.736     6.000     3   5.4832
       79     0.00000     2.960    12.000     3   5.4900
       80     0.00000     7.564     3.000     2   5.5273
       81     0.00000     5.888     6.000     3   5.5440
       82     0.00000     6.318     6.000     3   5.5736
       83     0.00000     5.813     6.000     3   5.5736
       84     0.00000     4.746     6.000     3   5.5736
       85     0.00000     5.270     6.000     3   5.5891
       86     0.00000     8.229     6.000     3   5.5891
       87     0.00000     4.126     6.000     3   5.6468
       88     0.00000     7.114     3.000     2   5.6501
       90     0.00000     6.900     3.000     2   5.7121
       92     0.00000     5.592     6.000     3   5.7430
       93     0.00000     3.138     6.000     3   5.7577
       95     0.00000     4.717     6.000     3   5.7668
       96     0.00000     7.814     6.000     3   5.7668
       97     0.00000     4.260     6.000     4   5.7674
       98     0.00000     2.677     6.000     3   5.8003
       99     0.00000     3.183     6.000     4   5.8048
      101     0.00000    15.022     6.000     2   5.8132
      103     0.00000     3.834     6.000     3   5.8236
      104     0.00000     2.682     6.000     5   5.8292
      105     0.00000     7.385     3.000     2   5.8488
      106     0.00000    10.707     6.000     3   5.8575
      107     0.00000     9.414     6.000     3   5.8575
      109     0.00000     2.725     6.000     3   5.8759
      110     0.00000     6.323     3.000     2   5.8922
      111     0.00000     4.224     3.000     4   5.9018
      112     0.00000     3.583     3.000     4   5.9018
      113     0.00000     3.231     6.000     3   5.9069
      114     0.00000     5.275     6.000     3   5.9206
      115     0.00000     3.940     6.000     4   5.9451
